Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
12.212	0.83	0.70	-9.75	0.03	-0.02	0.04
12.238	0.88	0.61	-9.78	0.03	0.01	0.16
12.265	0.91	0.69	-9.82	0.02	0.00	-0.07
12.293	0.88	0.79	-9.80	-0.07	0.09	0.06
12.319	0.85	0.72	-9.70	0.11	-0.13	-0.10
12.347	0.85	0.62	-9.73	0.02	0.03	0.03
12.374	0.86	0.75	-9.70	0.01	0.02	0.12
12.401	0.89	0.65	-9.75	0.08	-0.07	-0.03
12.428	0.80	0.79	-9.78	-0.06	0.08	0.06
12.455	0.90	0.68	-9.80	0.15	-0.14	-0.04
12.485	0.88	0.75	-9.77	0.05	-0.11	-0.09
12.513	0.91	0.74	-9.68	-0.01	-0.04	0.07
12.539	0.92	0.69	-9.78	-0.02	0.04	-0.09
12.567	0.91	0.80	-9.78	0.02	0.06	0.06
12.594	0.83	0.70	-9.63	0.00	-0.09	-0.07
12.621	0.91	0.70	-9.74	0.00	-0.03	-0.14
12.648	0.89	0.73	-9.73	0.07	-0.01	0.09
12.676	0.87	0.72	-9.76	-0.04	0.06	-0.03
12.702	0.91	0.68	-9.77	0.08	0.00	0.06
12.729	0.88	0.78	-9.70	0.03	0.12	-0.03
12.756	0.89	0.75	-9.69	-0.03	-0.02	-0.10
12.783	0.81	0.65	-9.79	0.04	-0.02	-0.05
12.811	0.82	0.82	-9.80	0.03	-0.01	-0.08
12.840	0.91	0.63	-9.75	0.08	0.04	-0.01
12.868	0.93	0.70	-9.70	0.09	-0.04	-0.10
