Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
9.970	0.91	0.80	-9.78	0.05	-0.01	-0.03
9.998	0.91	0.82	-9.75	0.02	0.03	0.01
10.024	0.88	0.75	-9.74	0.11	0.04	0.06
10.051	0.88	0.77	-9.78	0.05	-0.07	-0.08
10.079	0.83	0.71	-9.70	-0.04	0.00	0.02
10.105	0.93	0.80	-9.84	0.04	0.05	-0.06
10.133	0.91	0.75	-9.80	-0.07	0.00	0.11
10.160	0.91	0.68	-9.75	0.13	-0.01	-0.13
10.187	0.93	0.68	-9.78	0.01	0.04	-0.06
10.214	0.91	0.73	-9.74	-0.09	0.06	0.23
10.245	0.92	0.86	-9.68	0.03	-0.02	0.02
10.271	0.91	0.67	-9.81	-0.01	0.06	0.05
10.299	0.87	0.73	-9.78	-0.03	-0.12	0.17
10.326	0.88	0.74	-9.77	-0.02	0.10	-0.09
10.353	0.84	0.72	-9.82	-0.06	-0.02	-0.04
10.380	0.83	0.65	-9.83	0.03	-0.01	0.02
10.407	0.90	0.76	-9.76	0.05	-0.04	-0.05
10.434	0.88	0.70	-9.79	0.07	0.12	0.03
10.462	0.96	0.73	-9.75	-0.02	-0.01	-0.00
10.488	0.87	0.79	-9.78	0.03	-0.04	0.05
10.521	0.88	0.72	-9.64	-0.03	-0.09	-0.01
10.549	0.91	0.71	-9.70	0.02	0.02	-0.10
10.575	0.88	0.77	-9.78	0.06	-0.01	0.06
10.606	0.91	0.74	-9.82	0.04	-0.07	-0.15
10.633	0.86	0.71	-9.70	0.16	-0.07	-0.19
10.660	0.83	0.70	-9.72	-0.01	0.04	0.06
10.687	0.90	0.80	-9.77	0.12	-0.04	-0.11
10.715	0.94	0.75	-9.72	0.00	0.06	-0.03
10.741	0.85	0.78	-9.73	0.09	-0.07	-0.09
10.769	0.85	0.76	-9.68	0.10	-0.01	0.05
10.796	0.93	0.71	-9.78	-0.01	0.08	-0.09
10.823	0.91	0.73	-9.77	0.10	0.00	-0.09
10.850	0.91	0.80	-9.79	0.04	-0.06	-0.07
10.877	0.91	0.74	-9.71	-0.02	0.11	-0.10
10.904	0.96	0.80	-9.72	0.05	0.02	0.10
